Age,Experience_years,Daily_work_hours,Sleep_hours,Caffeine_intake,Bugs_per_day,Commits_per_day,Meetings_per_day,Screen_time,Exercise_hours,Stress_level,Burnout_level,Age_Group
26,12,10.33,4.45,2,11,4,1,15.07,0.14,55,Medium,26-30
39,10,8.62,5.77,5,15,11,5,13.25,0.54,82,High,36-40
34,13,8.99,4.03,5,2,18,9,11.18,1.54,61,Medium,31-35
30,1,6.85,6.47,2,15,26,1,11.14,0.96,54,Medium,26-30
27,7,4.24,5.8,4,9,17,7,8.05,0.36,27,Low,26-30
40,2,10.25,6.78,0,19,27,4,15.15,0.78,51,Medium,36-40
26,10,6.53,7.6,6,4,11,9,9.38,0.54,39,Medium,26-30
38,0,10.69,5.25,5,12,2,2,14.58,0.1,77,High,36-40
42,18,11.47,4.79,4,11,25,1,14.54,1.53,73,High,41-45
30,17,13.16,5.39,3,0,3,3,14.44,0.58,46,Medium,26-30
30,16,13.58,4.01,2,19,14,7,14.77,1.89,100,High,26-30
43,19,4.11,4.6,5,10,14,0,5.6,1.78,26,Low,41-45
32,12,13.9,7.75,6,18,10,9,16.08,1.43,100,High,31-35
23,2,10.83,5.11,0,14,1,2,12.87,0.65,81,High,20-25
27,0,10.44,8.97,2,17,17,0,14.35,0.56,48,Medium,26-30
43,3,4.15,4.84,7,15,2,1,8.01,0.95,34,Low,41-45
22,12,12.61,7.94,5,6,17,9,17.5,0.71,77,High,20-25
41,16,5.45,7.53,3,9,13,6,7.69,1.8,28,Low,41-45
40,10,12.37,5.61,4,15,5,0,17.12,0.25,85,High,36-40
21,1,4.16,5.65,2,16,1,8,7.61,1.45,51,Medium,20-25
43,15,10.46,6.82,5,6,0,7,13.44,1.22,64,Medium,41-45
31,1,8.35,8.26,1,10,7,0,12.02,1.61,19,Low,31-35
25,18,6.01,5.93,0,16,9,9,9.82,1.08,37,Medium,20-25
21,18,5.08,4.31,4,4,19,0,6.77,1.26,19,Low,20-25
40,15,8.4,5.87,2,0,17,1,12.41,1.93,27,Low,36-40
20,18,5.23,5.04,5,2,19,1,9.13,0.18,27,Low,20-25
31,8,8.86,8.7,4,15,10,5,13.85,0.21,46,Medium,31-35
41,0,10.25,7.49,1,14,17,0,14.9,0.79,43,Medium,41-45
31,9,12.27,4.25,2,3,26,3,16.01,0.95,56,Medium,31-35
44,18,10.79,5.46,7,11,15,6,14.64,0.4,89,High,41-45
36,0,4.65,4.25,4,0,4,8,9.43,0.17,38,Medium,36-40
29,1,7.07,8.15,2,16,6,9,11.94,0.04,35,Medium,26-30
35,15,6.88,8.53,7,14,14,2,11.19,1.53,30,Low,31-35
34,11,13.15,4.56,2,19,1,3,17.22,0.97,90,High,31-35
34,7,12.68,6.2,4,19,10,4,14.13,1.69,81,High,31-35
38,17,7.7,8.66,2,9,12,4,12.02,0.72,53,Low,36-40
31,1,4.71,4.73,1,10,19,1,6.72,1.41,17,Low,31-35
32,12,12.94,5.46,4,17,23,4,16.2,0.98,89,High,31-35
39,5,12.88,5.52,5,1,27,9,15.5,1.22,83,High,36-40
44,5,12.55,4.15,6,5,15,0,14.93,0.74,76,High,41-45
22,8,12.45,4.18,4,15,29,6,14.69,0.16,99,High,20-25
24,15,8.8,8.76,1,6,13,4,13.22,1.89,31,Low,20-25
32,10,5.77,6.86,1,18,6,5,9.85,1.67,50,Medium,31-35
26,6,8.77,5.53,1,11,6,8,11.86,0.62,80,High,26-30
40,9,8.95,5.89,7,17,11,2,12.61,1.92,72,High,36-40
28,9,8.9,7.57,5,9,11,0,12.02,0.6,59,Medium,26-30
26,19,9.39,5.83,5,6,19,7,11.98,0.89,69,Medium,26-30
37,10,6.58,5.14,6,3,0,1,9.78,1.51,9,Low,36-40
23,19,7.66,4.51,6,16,22,1,10.79,0.62,77,Medium,20-25
44,8,8.34,7.64,2,16,5,9,13.08,0.65,80,High,41-45
33,14,5.31,4.9,2,3,7,3,7.72,0.82,30,Low,31-35
37,3,8.55,4.35,3,4,26,4,13.5,0.94,33,Low,36-40
28,7,12.1,6.13,6,0,12,0,14.32,0.25,57,Medium,26-30
40,8,12.28,4.2,6,18,14,2,13.72,0.03,100,High,36-40
21,12,8.12,8.82,2,10,23,7,9.89,1.02,27,Medium,20-25
39,8,9.19,7.14,1,0,9,5,11.89,0.71,37,Medium,36-40
34,10,4.34,4.76,3,7,26,2,7.94,0.2,30,Low,31-35
26,16,10.74,4.86,6,3,13,6,13.81,1.52,62,Medium,26-30
31,15,8.05,6.85,1,9,23,5,10.56,0.59,54,Medium,31-35
27,14,8.45,5.78,0,16,8,4,11.7,1.02,42,Medium,26-30
34,2,12.74,7.87,7,17,16,7,17.1,1.93,90,High,31-35
22,19,8.62,6.73,6,2,2,7,12.98,1.84,51,Medium,20-25
33,4,4.21,6.17,5,17,11,2,8.11,0.21,37,Medium,31-35
36,4,6.27,8.81,4,6,11,7,11.08,1.8,27,Low,36-40
32,19,8.76,5.95,0,16,10,9,12.12,1.78,65,Medium,31-35
37,14,8.24,6.0,5,17,21,8,9.27,1.27,74,High,36-40
27,17,12.6,7.33,5,19,28,9,14.76,1.06,85,High,26-30
23,14,9.42,8.05,7,7,3,2,11.73,0.43,53,Medium,20-25
21,1,10.9,7.13,1,10,7,7,14.09,0.24,67,Medium,20-25
25,12,8.69,7.49,2,2,9,7,13.31,1.21,28,Low,20-25
41,3,8.4,5.86,4,6,13,6,12.75,1.64,60,Medium,41-45
29,9,8.46,6.4,2,14,29,7,10.39,1.38,71,High,26-30
23,12,8.11,4.99,2,9,0,0,11.19,0.36,40,Medium,20-25
41,9,9.39,7.4,6,11,11,2,13.03,0.58,66,Medium,41-45
37,8,6.5,5.11,4,11,4,5,11.45,1.09,67,Medium,36-40
31,7,12.91,4.01,4,18,13,6,14.04,1.25,94,High,31-35
21,2,7.33,8.67,0,18,3,6,10.19,0.14,44,Medium,20-25
29,15,5.48,5.53,1,14,27,5,10.43,1.23,21,Low,26-30
23,13,4.97,4.98,2,4,16,3,9.88,1.47,11,Low,20-25
33,8,4.13,5.34,7,12,25,4,6.45,0.36,43,Medium,31-35
